Дата;Код;Комментарий;Картинка;Вес;Ед;Окраска;Материал;Цвет;Цвет металла;Форма;Отверстие;Диаметр;Длина;Ширина ;Толщина;Огранка;Вид;Производитель;Тема;Тип;Фасовка;Бренд;Вставка;Материал камня;Применение;Свойство камня;Серия;Стиль;Форма отверстия;Палитра;Размер;Номер цвета;;;;Хар2;К2;Уп2;Вес2;Хар3;К3;Уп3;Вес3;Хар4;К4;Уп4;Вес4;Ост2;Ост3;Ост4;ЦенаРозн2;ЦенаРозн3;ЦенаРозн4;ЦенаОпт2;ЦенаОпт3;ЦенаОпт4;Резерв2;Резерв3;Резерв4;ДопОписание
31.03.2020;УТ0002619;Бусины Акрил Матовые, Цветок, Цвет: Микс, Размер: 15х7мм, Отверстие: 1.5мм, около 140шт/50г, (УТ0002619);000261900.jpg;;50 г;;Акрил;Микс;;Цветок;1~1,9мм;15мм;;;7мм;;;;;Красочные;;;;;Бусины;;;Матовый;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;3;;32,088;6,50001;;20,358;3,48213;;;;;Размер: Диаметр: 15мм, Толщина: 7мм, Отверстие: 1.5мм, около 140шт/50г
31.03.2020;УТ0002620;Бусины Акрил Непрозрачные, Матовые, Виноград, Цвет: Микс, Размер: 14х11х7мм, Отверстие 2.5 мм, около 100шт/50г, (УТ0002620);000262000.jpg;;50 г;;Акрил;Микс;;Фрукты;2~2,9мм;;14мм;11мм;7мм;;;;;Красочные;;;;;Бусины;;;Матовый;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;35,892;;;21,429;;;;;;Размер: Длина 14мм, Ширина 11мм, Толщина 7мм, Отверстие 2.5 мм, около 100шт/50г
31.03.2020;УТ0002621;Бусины Акрил Непрозрачные, Матовые, Клубника, Цвет: Микс, Размер: 16х16х8мм, Отверстие 3 мм, около 40шт/50г, (УТ0002621);000262100.jpg;;50 г;;Акрил;Микс;;Фрукты;3~3,9мм;;16мм;16мм;8мм;;;;;Красочные;;;;;Бусины;;;Матовый;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;33,75;;;20,358;;;;;;Размер: Длина 16мм, Ширина 16мм, Толщина 8мм, Отверстие 3 мм, около 40шт/50г
31.03.2020;УТ0002648;Кулон Вишня Акрил, Непрозрачные, Цвет: Микс, Размер: 26х12х12мм, Отверстие 4мм, (УТ0002648);000264800.jpg;;50 г;;Акрил;Микс;;Фрукты;4~4,9мм;;26мм;12мм;12мм;;;;Растительный мир;Красочные;;;;;Кулоны и Подвески;;;Непрозрачный;;Микс Цветов;20мм и больше;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;45,219;;;22,6095;;;;;;Размер: Длина 26мм, Ширина 12мм, Толщина 12мм, Отверстие 4мм.
31.03.2020;УТ0002661;Кулон Бабочка Акрил, Непрозрачные, Цвет: Микс, Размер: 15х19х6мм, Отверстие 2мм, (УТ0002661);000266100.jpg;250;50 г;;Акрил;Микс;;Бабочка;2~2,9мм;;15мм;19мм;6мм;;;;;Красочные;;;;;Кулоны и Подвески;;;Непрозрачный;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;5;;;37,446;;;22,5;;;;;;Акрил, Размер: Длина 15мм, Ширина 19мм, Толщина 6мм, Отверстие 2мм.
31.03.2020;УТ0002643;Бусины Акрил Обвитые Металлом, с Покрытием, Круглые, Цвет: Микс, Диаметр: 10мм, Отверстие: 2мм, около 110шт/50г, (УТ0002643);000264300.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;10мм;;;;;;;;С Покрытием;;;Металлические Вставки;;Бусины;;;Со Вставками Металла;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;49,377;;;26,73;;;;;;
31.03.2020;УТ0002644;Бусины Акрил Обвитые Металлом, с Покрытием, Круглые, Цвет: Микс, Диаметр: 8мм, Отверстие 2мм, около 180шт/50г, (УТ0002644);000264400.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;8мм;;;;;;;;С Покрытием;;;Металлические Вставки;;Бусины;;;Со Вставками Металла;;Микс Цветов;8~9мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;54,486;;;33,297;;;;;;
31.03.2020;УТ0002645;Бусины Акрил Обвитые Металлом, с Покрытием, Круглые, Цвет: Микс, Диаметр: 8мм, Отверстие 2мм, около 170шт/50г, (УТ0002645);000264500.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;8мм;;;;;;;;С Покрытием;;;Металлические Вставки;;Бусины;;;Со Вставками Металла;;Микс Цветов;8~9мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;54,486;;;33,297;;;;;;
31.03.2020;УТ0002646;Бусины Акрил Обвитые Металлом, с Покрытием, Круглые, Цвет: Микс, Диаметр: 10мм, Отверстие 2мм, около 100шт/50г, (УТ0002646);000264600.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;10мм;;;;;;;;С Покрытием;;;Металлические Вставки;;Бусины;;;Со Вставками Металла;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;55,5495;;;30,1755;;;;;;
31.03.2020;УТ0002647;Бусины Акрил Обвитые Металлом, с Покрытием, Круглые, Цвет: Микс, Диаметр: 8мм, Отверстие 2мм, около 150шт/50г, (УТ0002647);000264700.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;8мм;;;;;;;;С Покрытием;;;Металлические Вставки;;Бусины;;;Со Вставками Металла;;Микс Цветов;8~9мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;54,486;;;33,297;;;;;;
31.03.2020;УТ0002649;Бусины Акрил Обвитые Металлом, с Покрытием, Круглые, Цвет: Микс, Диаметр: 10мм, Отверстие 2мм, около 83шт/50г, (УТ0002649);000264900.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;10мм;;;;;;;;С Покрытием;;;Металлические Вставки;;Бусины;;;Со Вставками Металла;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;49,377;;;30,1755;;;;;;
31.03.2020;УТ0002779;Бусины Акрил Матовые, Цветок, Цвет: Микс, Размер: 16х15х9мм, Отверстие 2мм, около 90шт/50г, (УТ0002779);000277900.jpg;;50 г;;Акрил;Микс;;Цветок;2~2,9мм;;16мм;15мм;9мм;;;;;Красочные;;;;;Бусины;;;Матовый;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;43,092;;;23,94;;;;;;Размер: Длина 16мм, Ширина 15мм, Толщина 9мм, Отверстие 2мм, около 90шт/50г
31.03.2020;УТ0002780;Кулон Звезда Акрил, Непрозрачные, Цвет: Микс, Размер: 15х16х5мм, Отверстие 1.5мм, (УТ0002780);000278000.jpg;;50 г;;Акрил;Микс;;Звезда;1~1,9мм;;15мм;16мм;5мм;;;;Разное;Красочные;;;;;Кулоны и Подвески;;;Непрозрачный;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;45,231;;;22,6155;;;;;;Кулон Акрил, Размер: Длина 15мм, Ширина 16мм, Толщина 5мм, Отверстие 1.5мм.
31.03.2020;УТ0002781;Кулон Звезда Акрил, Непрозрачные, Цвет: Микс, Размер: 13х13х8мм, Отверстие 1.5мм, (УТ0002781);000278100.jpg;;50 г;;Акрил;Микс;;Звезда;1~1,9мм;;13мм;13мм;8мм;;;;Разное;Красочные;;;;;Кулоны и Подвески;;;Непрозрачный;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;45,231;;;22,6155;;;;;;Кулон Акрил, Размер: Длина 13мм, Ширина 13мм, Толщина 8мм, Отверстие 1.5мм.
31.03.2020;УТ0002791;Бусины Акрил Прозрачные, Цветок, Цвет: Микс, Размер: Диаметр: 10мм, Толщина 5мм, Отверстие 1мм, около 480 шт/50г, (УТ0002791);000279100.jpg;;50 г;;Акрил;Микс;;Цветок;1~1,9мм;10мм;;;5мм;;;;;Прозрачные;;;;;Бусины;;;Прозрачный;;Микс Цветов;10~14мм;14 Mixed Color;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;62,0895;;;34,494;;;;;;
31.03.2020;УТ0002842;Бусины Акрил Непрозрачные, Сердце, Цвет: Микс, Размер: 14х14х6мм, Отверстие 2мм, около 100шт/50г, (УТ0002842);000284200.jpg;950;50 г;;Акрил;Микс;;Сердце;2~2,9мм;;14мм;14мм;6мм;;;;Романтика;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;19;16;;32,088;5,94999;189,99999;19,821;3,21429;165;;;;Размер: Длина 14мм, Шитрина 14мм, Толщина 6мм, Отверстие 2мм, около 100шт/50г
31.03.2020;УТ0002843;Бусины Акрил Непрозрачные, Граненые, Бабочка, Цвет: Микс, Размер: 16х20х6мм, Отверстие: 7х2мм, около 60шт/50г, (УТ0002843);000284300.jpg;;50 г;;Акрил;Микс;;Бабочка;2~2,9мм;;16мм;20мм;6мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;48,4785;;;23,94;;;;;;Размер: Длина: 16мм, Ширина: 20мм, Толщина: 6мм, Отверстие: 7х2мм, около 60шт/50г
31.03.2020;УТ0002846;Бусины Акриловые Желейные, Бабочка, Цвет: Микс, Размер: 14х9мм, Отв-тие 4мм, около 70шт/50г, (УТ0002846);000284600.jpg;;50 г;;Акрил;Микс;;Бабочка;4~4,9мм;;14мм;;9мм;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;27;;35,892;6,95001;;21,429;3,75;;;;;Размер: Длина 14мм, Толщина 9мм, Отверстие 4мм, около 70шт/50г
31.03.2020;УТ0002935;Бусины Акриловые Цветок, Желейные, Цвет: Микс, Размер: 12х12мм, Отв-тие 2мм, около 80шт/50г, (УТ0002935);000293500.jpg;;50 г;;Акрил;Микс;;Цветок;2~2,9мм;12мм;;;12мм;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;16;;35,304;6,50001;;20,892;3,50001;;;1;;Размер: Диаметр: 12мм, Толщина 12мм, Отв-тие 2мм, около 80шт/50г
31.03.2020;УТ0002960;Бусины Акриловые Желейные, Цветок, Цвет: Микс, Размер: 14х14х7мм, Отв-тие 2мм, около 125шт/50 г, (УТ0002960);000296000.jpg;;50 г;;Акрил;Микс;;Цветок;2~2,9мм;;14мм;14мм;7мм;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;43,092;;;20,892;;;;;;Размер: Длина 14мм, Ширина 14мм, Толщина 7мм, Отверстие 2мм, около 125шт/50 г
31.03.2020;УТ0002995;Жемчуг Бусины Акриловые, Глянцевые, Круглые, Цвет: Оливковый, Размер: Диаметр 6мм, Отв-тие 1мм, около 480шт/50г, (УТ0002995);000299500.jpg;;50 г;;Акриловый жемчуг;Оливковый;;Круглая;1~1,9мм;6мм;;;;;;;;Акриловый жемчуг;;;;;Бусины;;Акриловый жемчуг;Жемчужный;;Салатово-зеленая;6~7мм;16 Olive;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;27;;40,179;7,95;;25,713;3,75;;;;;Красочные бусины из акрила с имитацией жемчуга милые и привлекательные. Их легкость и недорогая цена делает их покупку мудрым выбором для Вас. Они используются со швензами, колечками и пинами, чтобы стать ожерельями, браслетами, сережками и т.д.
31.03.2020;УТ0003020;Бусины Акриловые Желейные, Граненые, Круглые, Цвет: Желтый, Диаметр: 8мм, Отв-тие 1.5мм, около 160шт/50г, (УТ0003020);000302000.jpg;650;50 г;;Акрил;Желтый;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Оранжево-желтая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;13;29;;30;5,94999;;20,892;3,50001;;;;;
31.03.2020;УТ0003087;Бусины Акрил Прозрачные, Бабочка, Цвет: Микс, Размер: Длина 11.5мм, Ширина 14.5мм, Толщина 7мм, Отверстие 1.5мм, около 90шт/50г, (УТ0003087);000308700.jpg;;25 г;;Акрил;Микс;;Бабочка;1~1,9мм;;11.5мм;14.5мм;7мм;;;;;Прозрачные;;;;;Бусины;;;Прозрачный;;Микс Цветов;10~14мм;Mixed Color;;;;25 г, 25;25;25 г;25;50 г, 50;50;50 г;50;;;;;;;;28,39287;25,95;;13,92858;25,98;;;;;Размер: Длина 11.5мм, Ширина 14.5мм, Толщина 7мм, Отверстие 1.5мм, около 90шт/50г
31.03.2020;УТ0003113;Бусины Акриловые UV Покрытие, Глянцевые, Круглые, Цвет: Платиновый, Диаметр: 8мм, Отверстие 2мм, около 85шт/25г (УТ0003113);000311300.jpg;;25 г;;Акрил;Платина;;Круглая;2~2,9мм;8мм;;;;;;;;С Покрытием;;;;;Бусины;;Суперглянец;Глянцевое UV Покрытие;;Черно-серая;8~9мм;02 Silver;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;;;;26,25;9,95001;;17,679;5,30358;;;;;
31.03.2020;УТ0003118;Бусины Акриловые Желейные, Граненые, Круглые, Цвет: Розовый, Диаметр: 8мм, Отв-тие 1.5мм, около 160шт/50г, (УТ0003118);000311800.jpg;2050;50 г;;Акрил;Розовый;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;40;33;;30;5,94999;204,99999;20,892;3,50001;185,00001;1;;;
31.03.2020;УТ0003276;Бусины Акрил Прозрачные АВ-Цвет, Граненые, Рондель, Цвет: Микс, Размер: 8х6мм, Отверстие 2мм, около 115шт/25г, (УТ0003276);000327600.jpg;;25 г;;Акрил;Микс;;Рондель;2~2,9мм;8мм;;6мм;;Граненые;;;;Прозрачные;;;;;Бусины;;;Прозрачный АВ-Цвет;;Микс Цветов;8~9мм;0J Mixed Color;;;;25 г, 25;25;25 г;25;;;;;;;;;;;;27,80358;;;13,92858;;;;;;Размер: Диаметр 8мм, Ширина 6мм, Отверстие 2мм, около 115шт/25г
31.03.2020;БА000001323;Бусины Акриловые Голографические, Круглые, Цвет: Зеленый, Диаметр: 16мм, Отверстие 2мм, около 11шт/25г, (БА000001323);000001323.jpg;;25 г;;Акрил;Зеленый;;Круглая;2~2,9мм;16мм;;;;;;;;Красочные;;;;;Бусины;;Голографические;Голографический;;Салатово-зеленая;15~19мм;;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;;;;24,108;;;17,679;;;;;;
31.03.2020;БА000001325;Бусины Акриловые с Рисунком, Овальные, Цвет: Белый, Размер: 25х19мм, Отверстие 2мм, (БА000001325);000001325.jpg;;5 шт;;Акрил;Белый;;Овальная;2~2,9мм;;25мм;19мм;;;;;;С Рисунком;;;;;Бусины;;;Печатный;;Белая;20мм и больше;;;;;5 шт, 5;5;5 шт;0;;;;;;;;;;;;8,1;;;5,1;;;;;;Размер: Длина 25мм, Ширина 19мм, Отверстие 2мм
31.03.2020;БА000001327;Бусины Акриловые Голографические, Круглые, Цвет: Розовый, Диаметр: 20мм, Отверстие 2.5мм, около 12шт/50г, (БА000001327);000001327.jpg;;50 г;;Акрил;Розовый;;Круглая;2~2,9мм;20мм;;;;;;;;Красочные;;;;;Бусины;;Голографические;Голографический;;Красно-розовая;20мм и больше;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;47,679;;;35,892;;;;;;
31.03.2020;БА000001328;Бусины Акриловые Голографические, Круглые, Цвет: Зеленый, Диаметр: 20мм, Отверстие 2.5мм, около 12шт/50г, (БА000001328);000001328.jpg;;50 г;;Акрил;Зеленый;;Круглая;2~2,9мм;20мм;;;;;;;;Красочные;;;;;Бусины;;Голографические;Голографический;;Салатово-зеленая;20мм и больше;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;47,679;;;35,892;;;;;;
31.03.2020;БА000001329;Бусины Акриловые Голографические, Круглые, Цвет: Розовый, Диаметр: 14мм, Отверстие 1.5мм, около 33шт/50г, (БА000001329);000001329.jpg;;50 г;;Акрил;Розовый;;Круглая;1~1,9мм;14мм;;;;;;;;Красочные;;;;;Бусины;;Голографические;Голографический;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;250 г, 250;250;250 г;250;;;;47,679;;200,00001;35,358;;159,99999;;;;
31.03.2020;БА000001330;Бусины Акриловые Голографические, Круглые, Цвет: Белый, Диаметр: 14мм, Отверстие 2.5мм, около 33шт/50г, (БА000001330);000001330.jpg;;50 г;;Акрил;Белый;;Круглая;2~2,9мм;14мм;;;;;;;;Красочные;;;;;Бусины;;Голографические;Голографический;;Белая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;250 г, 250;250;250 г;250;;;;49,821;;200,00001;37,5;;159,99999;;;;
31.03.2020;БА000001229;Бусины Акриловые UV Покрытие, Глянцевые, Круглые, Цвет: Платина, Диаметр: 6мм, Отверстие 1мм, около 400шт/50г, (БА000001229);000001229.jpg;;25 г;;Акрил;Платина;;Круглая;1~1,9мм;6мм;;;;;;;;С Покрытием;;;;;Бусины;;Суперглянец;Глянцевое UV Покрытие;;Черно-серая;6~7мм;03 Platinum;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;;;;33,21429;67,5;;18,21429;39,6;;;;;
31.03.2020;БА000001156;Бусины Акриловые UV Покрытие, Глянцевые, Граненые, Круглые, Цвет: Золото, Диаметр: 6мм, Отверстие 1мм, около 400шт/50г, (БА000001156);000001156.jpg;;25 г;;Акрил;Золото;;Круглая;1~1,9мм;6мм;;;;;;;;С Покрытием;;;;;Бусины;;Суперглянец;Глянцевое UV Покрытие;;Оранжево-желтая;6~7мм;03 Golden;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;;;;35,89287;12,50001;;18,21429;5,25;;;;;
31.03.2020;БА000000739;Бусины Акрил ССВ Покрытие, Граненые, Круглые, Цвет: Серебро, Диаметр: 6мм, Отверстие 1мм, около 250шт/25г, (БА000000739);000000739.jpg;;25 г;;Акрил;Серебро;;Круглая;1~1,9мм;6мм;;;;Граненая;;;;С Покрытием;;;;;Бусины;;;ССВ Покрытие;;Черно-серая;6~7мм;02 Silver;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;;;;35,89287;12,50001;;18,21429;5,25;;;;;
31.03.2020;БА000000948;Бусины Акриловые Красочные, Круглые, Цвет: Черный, Диаметр: 10мм, Отверстие 1мм, около 90шт/50г, (БА000000948);000000948.jpg;;50 г;;Акрил;Черный;;Круглая;1~1,9мм;10мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;10~14мм;06 Black;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;29,463;;;17,679;;;;;;
31.03.2020;БА000000943;Бусины Акрил с Рисунком, Круглые, Цвет: Фиолетовый, Диаметр: 20мм, Отверстие 3мм, около 150шт/500г, (БА000000943);000000943.jpg;;5 шт;;Акрил;Фиолетовый;;Круглая;3~3,9мм;20мм;;;;;;;;С Рисунком;;;;;Бусины;;;Печатный;;Сиренево-фиолетовая;20мм и больше;;;;;5 шт, 5;5;5 шт;0;;;;;;;;;;;;25,92;;;15,84;;;;;;
31.03.2020;БА000001802;Подвески Акрил Спрэй Покрытие, Лист, Цвет: Зеленый, Размер: 10х5х2мм, Отв. 1.5мм, около 700шт/50г, (БА000001802);000001802.jpg;;50 г;;Акрил;Зеленый;;Лист;1~1,9мм;;10мм;5мм;2мм;;;;;С Покрытием;;;;;Кулоны и Подвески;;;Спрэй Покрытие;;Салатово-зеленая;10~14мм;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;54,507;;;30,282;;;;;;Размер: Длина 10мм, Ширина 5мм, Толщина 2мм, Отверстие 2мм, около 700шт/50г
31.03.2020;БА000000853;Бусины Акриловые Красочные, Круглые, Цвет: Желтый, Диаметр: 14мм, Отверстие 1.5мм, около 64шт/100г, (БА000000853);000000853.jpg;;100 г;;Акрил;Желтый;;Круглая;1~1,9мм;14мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Оранжево-желтая;10~14мм;14 Gold;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;59,4;;;40,26;;;;;;
31.03.2020;БА000000855;Бусины Акриловые Красочные, Круглые, Цвет: Желтый, Диаметр: 12мм, Отверстие 1мм, около 50шт/50г, (БА000000855);000000855.jpg;;50 г;;Акрил;Желтый;;Круглая;1~1,9мм;12мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Оранжево-желтая;10~14мм;14 Gold;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;29,463;6,50001;;17,679;3,21429;;;;;
31.03.2020;БА000000856;Бусины Акриловые Красочные, Круглые, Цвет: Фиолетовый, Диаметр: 14мм, Отверстие 1.5мм, около 64шт/100г, (БА000000856);000000856.jpg;;100 г;;Акрил;Фиолетовый;;Круглая;1~1,9мм;14мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сиренево-фиолетовая;10~14мм;03 DarkBlue;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;65,88;;;40,26;;;;;;
31.03.2020;БА000000857;Бусины Акриловые Красочные, Круглые, Цвет: Бирюзовый, Диаметр: 12мм, Отверстие 1мм, около 50шт/50г, (БА000000857);000000857.jpg;;50 г;;Акрил;Бирюзовый;;Круглая;1~1,9мм;12мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;10~14мм;02 DarkTurquoise;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;29,463;6,50001;;17,679;3,21429;;;;;
31.03.2020;БА000000858;Бусины Акриловые Красочные, Круглые, Цвет: Бирюзовый, Диаметр: 10мм, Отверстие 1мм, около 90шт/50г, (БА000000858);000000858.jpg;;50 г;;Акрил;Бирюзовый;;Круглая;1~1,9мм;10мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;10~14мм;02 DarkTurquoise;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;29,463;;;17,679;;;;;;
31.03.2020;БА000000859;Бусины Акриловые Красочные, Круглые, Цвет: Синий, Размер: Диаметр: 10мм, Отверстие 1мм, около 90шт/50г, (БА000000859);000000859.jpg;;50 г;;Акрил;Синий;;Круглая;1~1,9мм;10мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;10~14мм;03 DarkBlue;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;29,463;;;17,679;;;;;;
31.03.2020;БА000000860;Бусины Акриловые Красочные, Круглые, Цвет: Синий, Диаметр: 12мм, Отверстие 1мм, около 50шт/50г, (БА000000860);000000860.jpg;;50 г;;Акрил;Синий;;Круглая;1~1,9мм;12мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;10~14мм;03 DarkBlue;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;;;;29,463;6,50001;174,99999;17,679;3,21429;140,00001;;;;
31.03.2020;БА000000861;Бусины Акриловые Красочные, Круглые, Цвет: Бирюзовый, Диаметр: 14мм, Отверстие 1.5мм, около 64шт/100г, (БА000000861);000000861.jpg;;100 г;;Акрил;Бирюзовый;;Круглая;1~1,9мм;14мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;10~14мм;02 DarkTurquoise;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;59,4;;;40,26;;;;;;
31.03.2020;УТ000004115;Шипы Бусины Акрил, ССВ-Покрытие, Конус, Цвет: Платина, Размер: 5х5мм, Отверстие 1мм, (УТ000004115);000004115.jpg;;20 шт;;Акрил;Платина;;Конус;1~1,9мм;5мм;5мм;;;;;;;С Покрытием;;;;;Бусины;;;ССВ Покрытие;;Черно-серая;2~5мм;;;;;20 шт, 20;20;20 шт;0;;;;;;;;;;;;64,6572;;;28,7364;;;;;;Размер: Длина 5мм, Диаметр 5мм, Отверстие 1мм
31.03.2020;БА000001822;Бусины Акрил с Рисунком, Круглые, Цвет: Микс, Диаметр: 14мм, Отверстие 2мм, около 89шт/50г, (БА000001822);000001822.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;14мм;;;;;;;;С Рисунком;;;;;Бусины;;;Печатный;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;82,35;;;42,9;;;;;;
31.03.2020;БА000001823;Бусины Акрил с Рисунком, Круглые, Цвет: Микс, Диаметр: 10мм, Отверстие 2мм, около 96шт/50г, (БА000001823);000001823.jpg;;20 г;;Акрил;Микс;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;С Рисунком;;;;;Бусины;;;Печатный;;Микс Цветов;10~14мм;;;;;20 г, 20;20;20 г;0;;;;;;;;;;;;28,35;;;19,8;;;;;;
31.03.2020;БА000001824;Бусины Акрил с Рисунком, Круглые, Цвет: Зеленый, Диаметр: 14мм, Отверстие 2мм, около 86шт/50г, (БА000001824);000001824.jpg;;50 г;;Акрил;Зеленый;;Круглая;2~2,9мм;14мм;;;;;;;;С Рисунком;;;;;Бусины;;;Печатный;;Салатово-зеленая;10~14мм;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;80,637;;;56,3175;;;;;;
31.03.2020;БА000001826;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Микс, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (БА000001826);000001826.jpg;;50 г;;Акрил;Микс;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;20мм и больше;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;40,5;;;24;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;БА000001849;Бусины Акрил Комбинированные, Круглые, Цвет: Микс, Диаметр: 16мм, Отверстие 2мм, (БА000001849);000001849.jpg;;10 шт;;Акрил;Микс;;Круглая;2~2,9мм;16мм;;;;;;;;Красочные;;;;;Бусины;;Комбинированные;Комбинированный;;Микс Цветов;15~19мм;;;;;10 шт, 10;10;10 шт;0;;;;;;;;;;;;36,207;;;24,948;;;;;;
31.03.2020;УТ0010200;Бусины Акрил Смешанные Формы, Окрашенные, Цвет: Микс, Размер: Длина 4~38мм, Ширина 4~19мм, Отверстие 1~2мм, около 28шт/50г, (УТ0010200);001020000.jpg;;50 г;;Акрил;Микс;;Микс;1~1,9мм;;4~38мм;4~19мм;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;20мм и больше;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;29,946;;;21,429;;;;;;
